DATAPREG,PREULT
2025-09-01,39.11
2025-09-02,38.95
2025-09-03,39.08
2025-09-04,39.04
2025-09-05,39.3
2025-09-08,39.01
2025-09-09,38.77
2025-09-10,39.1
2025-09-11,39.39
2025-09-12,39.22
2025-09-15,39.72
2025-09-16,40.3
2025-09-17,40.74
2025-09-18,41.33
2025-09-19,42.21
2025-09-22,41.71
2025-09-23,42.0
2025-09-24,41.34
2025-09-25,40.78
2025-09-26,41.22
2025-09-29,42.3
2025-09-30,42.08
2025-10-01,41.54
2025-10-02,41.54
2025-10-03,41.6
2025-10-06,41.63
2025-10-07,40.87
2025-10-08,40.99
2025-10-09,39.79
2025-10-10,39.79
2025-10-13,39.75
2025-10-14,40.21
2025-10-15,40.52
2025-10-16,40.6
2025-10-17,40.79
2025-10-20,41.07
2025-10-21,41.54
2025-10-22,42.11
2025-10-23,42.04
2025-10-24,42.26
2025-10-27,42.55
2025-10-28,42.6
2025-10-29,42.81
2025-10-30,42.8
2025-10-31,43.34
2025-11-03,43.1
2025-11-04,42.96
2025-11-05,43.78
2025-11-06,47.44
2025-11-07,47.31
2025-11-10,46.68
2025-11-11,45.83
2025-11-12,46.99
2025-11-13,46.35
2025-11-14,46.06
2025-11-17,45.19
2025-11-18,45.07
2025-11-19,44.72
2025-11-21,44.61
2025-11-24,45.48
2025-11-25,45.51
2025-11-26,46.91
2025-11-27,46.05
2025-11-28,46.63
2025-12-01,45.7
2025-12-02,46.48
2025-12-03,45.81
2025-12-04,47.42
2025-12-05,44.1
2025-12-08,44.48
2025-12-09,44.18
2025-12-10,44.12
2025-12-11,44.27
2025-12-12,45.0
2025-12-15,47.12
2025-12-16,46.19
2025-12-17,44.96
2025-12-18,45.52
2025-12-19,41.44
2025-12-22,40.43
2025-12-23,41.67
2025-12-26,41.45
2025-12-29,40.75
2025-12-30,40.61
2026-01-02,40.47
2026-01-05,40.95
2026-01-06,42.5
2026-01-07,40.99
2026-01-08,40.67
2026-01-09,41.19
2026-01-12,41.16
2026-01-13,40.22
2026-01-14,40.34
2026-01-15,40.32
2026-01-16,40.25
2026-01-19,40.45
2026-01-20,40.14
2026-01-21,41.05
2026-01-22,43.39
2026-01-23,43.95
2026-01-26,44.09
2026-01-27,43.6
2026-01-28,44.15
2026-01-29,42.73
2026-01-30,42.39
2026-02-02,43.88
2026-02-03,42.64
2026-02-04,41.66
2026-02-05,41.61
2026-02-06,41.53
2026-02-09,42.16
2026-02-10,41.3
2026-02-11,42.15
2026-02-12,42.4
2026-02-13,42.66
2026-02-18,42.83
2026-02-19,44.64
2026-02-20,45.09
2026-02-23,43.56
2026-02-24,43.47
2026-02-25,43.52
2026-02-26,41.55
2026-02-27,40.3
