ano,acaoONPNBR,avista,bdr,FIIs,frac,outros,units
2000,134295575581.0,155385357102.7,1707043543.95,0.0,347848371.71,27751923356.87,595835657.1
2001,121388100213.26,124630659425.21,1208380579.15,0.0,217895919.55,23892873393.31,2469864691.95
2002,114416817115.21,115853242340.95,830177262.92,7936180.0,196721293.34,19922947471.44,1371832317.24
2003,162060271674.01,165329742501.6,237378796.06,19652393.8,335872504.97,37529457953.56,3184400273.59
2004,247190214835.97,252061285339.1,257762099.22,32621888.27,815713436.27,48835563496.14,4823579858.46
2005,329590049123.39,335476417788.66,378907811.92,39818141.99,1116078059.64,62350047282.22,5747348205.14
2006,496872777052.14,505906381610.03,778028689.84,176133881.9,1817962859.31,88544927239.57,8914826488.98
2007,964964258741.61,1017290155691.52,5006004849.94,138928581.51,3642536018.3,174774656135.08,49755553843.27
2008,1173300947272.98,1233928458495.04,5295652880.26,143606524.17,3654491355.33,136708348913.95,55343465205.1
2009,1108710725075.55,1156140377867.01,5792615474.74,228928460.31,2031607316.2,141663123956.79,41711371265.06
2010,1353824944296.94,1408317834469.94,17248705351.78,379098537.26,1915092054.05,191389423886.7,37485885857.0
2011,1367902151973.79,1421285086328.18,7167330935.31,912467969.08,1319810299.98,192557901291.21,46287379186.0
2012,1467780024559.32,1537420147169.63,6050679121.44,3599085398.61,1218109152.25,238387239188.43,64932788398.46
2013,1572432798856.18,1643095712918.04,6528391989.22,7853301589.3,1488391278.3,186520162045.23,64370465813.76
2014,1517034605759.79,1602143867104.13,7518708432.61,5095138041.79,1228639754.97,199540881679.95,77822470822.0
2015,1423154929873.48,1498450761743.29,7600857021.15,5338924689.82,1143780838.41,165102810121.78,67744382259.0
2016,1538156948185.38,1632021699852.14,6003998352.68,5610340573.9,1239676870.04,207144811015.34,88049902864.0
2017,1789346012087.12,1899063080684.37,5184465074.13,7527265422.68,1992174870.35,236799349643.69,104289835993.0
2018,2540697699409.47,2679918743385.78,7924830462.84,11207152853.28,3007467337.17,321558125252.5,131431024672.0
2019,3479037098645.44,3787147593917.25,6373263181.84,32163127887.39,9920140967.33,451871646208.55,301881494229.81
2020,5851334218850.82,6297907897773.93,31430805154.8,54249253401.77,32263186699.33,1012435181546.29,415746465403.41
2021,6458360723464.59,7073382382339.38,121766655413.41,66866488235.72,37447594587.93,1106005357590.09,493276367969.65
2022,5791244852501.46,6329723585609.47,146702294751.33,61062736102.17,20596786652.59,1020907371591.39,418851418369.62
2023,4784951997490.62,5118794994614.62,104713596009.56,64822833241.08,18648355786.59,864593470786.16,333816873669.0
2024,4404222618586.73,4740395275599.73,156436844974.77,87506387414.94,19646611017.46,931929614181.51,336154925818.0
2025,4254327030456.64,4615285406617.21,230413015454.07,85272130158.25,18540192231.83,1052994248785.07,360411111523.98
2026,898377460305.68,997042055940.02,58320805887.84,19839404867.59,3550582586.58,261733320057.13,98551355513.92
