ano,acaoONPNBR
2000,134295575581.0
2001,121388100213.26
2002,114416817115.21
2003,162060271674.01
2004,247190214835.97
2005,329590049123.39
2006,496872777052.14
2007,964964258741.61
2008,1173300947272.98
2009,1108710725075.55
2010,1353824944296.94
2011,1367902151973.79
2012,1467780024559.32
2013,1572432798856.18
2014,1517034605759.79
2015,1423154929873.48
2016,1538156948185.38
2017,1789346012087.12
2018,2540697699409.47
2019,3479037098645.44
2020,5851334218850.82
2021,6458360723464.59
2022,5791244852501.46
2023,4784951997490.62
2024,4404222618586.73
2025,4254327030456.64
2026,898377460305.68
