ano,avista
2000,155385357102.7
2001,124630659425.21
2002,115853242340.95
2003,165329742501.6
2004,252061285339.1
2005,335476417788.66
2006,505906381610.03
2007,1017290155691.52
2008,1233928458495.04
2009,1156140377867.01
2010,1408317834469.94
2011,1421285086328.18
2012,1537420147169.63
2013,1643095712918.04
2014,1602143867104.13
2015,1498450761743.29
2016,1632021699852.14
2017,1899063080684.37
2018,2679918743385.78
2019,3787147593917.25
2020,6297907897773.93
2021,7073382382339.38
2022,6329723585609.47
2023,5118794994614.62
2024,4740395275599.73
2025,4615285406617.21
2026,997042055940.02
